Roènı preh¾ad prijímate¾ov pod¾a stavu k 31. decembru 2025 pod¾a § 50 zákona è. 595/2003 Z. z. o dani z príjmov v znení neskorších predpisov;;;;;
IÈO;Názov prijímate¾a;Sídlo prijímate¾a;;;Poskytnutı súhrn podielov zaplatenej dane (eur)
;;Adresa;Obec;PSÈ;
001774741025;Dobrovo¾nı hasièskı zbor Plaveckı Peter; 137;Plaveckı Peter;90635;4 395,13
001774741102;Dobrovo¾nı hasièskı zbor Unín; 332;Unín;90846;594,32
001774741103;Dobrovo¾nı hasièskı zbor Gbely;Ul. Medlenova;Gbely;90845;982,04
001774741108;Dobrovo¾nı hasièskı zbor Letnièie; 219;Letnièie;90844;982,32
001774741111;Dobrovo¾nı hasièskı zbor Radošovce; 182;Radošovce;90863;374,84
001774741113;Dobrovo¾nı hasièskı zbor Popudinské Moèid¾any; 56;Popudinské Moèid¾any;90861;707,05
001774741203;Dobrovo¾nı hasièskı zbor Trenèín - Opatová;Potoèná 51/89;Trenèín;91101;987,94
001774741206;Dobrovo¾nı hasièskı zbor Svinná; 169;Svinná;91324;799,76
001774741207;Dobrovo¾nı hasièskı zbor Soblahov;;Soblahov;91338;853,88
001774741210;Dobrovo¾nı hasièskı zbor Chocholná - Velèice; 315;Chocholná-Velèice;91304;1 131,36
001774741222;Dobrovo¾nı hasièskı zbor Motešice;Machnáèska 288;Motešice;91326;998,43
001774741226;Dobrovo¾nı hasièskı zbor Ivanovce; 190;Ivanovce;91305;625,52
001774741302;Dobrovo¾nı hasièskı zbor Pravotice; 48;Pravotice;95635;121,56
001774741304;Dobrovo¾nı hasièskı zbor Podluany; 72;Podluany;95652;1 153,44
001774741306;dobrovo¾nı hasièskı zbor Zlatníky; 42;Zlatníky;95637;6 592,81
001774741308;Dobrovo¾nı hasièskı zbor Ruskovce; 2;Ruskovce;95654;1 233,56
001774741309;Dobrovo¾nı hasièskı zbor Malé Hoste; 191;Malé Hoste;95637;236,13
001774741311;Dobrovo¾nı hasièskı zbor Peèeòany; 105;Peèeòany;95636;738,78
001774741402;Dobrovo¾nı hasièskı zbor Košeca;Krúok 501/3;Košeca;01864;1 450,09
001774741409;Dobrovo¾nı hasièskı zbor Tuchyòa; 220;Tuchyòa;01855;1 718,68
001774741412;Dobrovo¾nı hasièskı zbor Bohunice; 103;Bohunice;01852;578,54
001774741416;Dobrovo¾nı hasièskı zbor Iliavka; 3008;Ilava;01901;1 212,85
001774741501;Dobrovo¾nı hasièskı zbor Rudník; 19;Rudník;90623;1 597,23
001774741502;Dobrovo¾nı hasièskı zbor Krajné; 255;Krajné;91616;1 751,47
001774741504;Dobrovo¾nı hasièskı zbor Poriadie; 101;Poriadie;90622;220,25
001774741505;Dobrovo¾nı hasièskı zbor Kostolné - Babulicov Vrch; 377;Kostolné;91613;1 429,26
001774741508;Dobrovo¾nı hasièskı zbor Turá Lúka; 105;Myjava;90703;384,24
001774741512;Dobrovo¾nı hasièskı zbor Hrašné; 3;Hrašné;91614;3 863,15
001774741602;Dobrovo¾nı hasièskı zbor Drgoòova dolina; 1239;Stará Turá;91601;761,29
001774741605;Dobrovo¾nı hasièskı zbor Lubina - Miškech Dedinka; 973;Lubina;91612;936,62
001774741606;Dobrovo¾nı hasièskı zbor Topolecká; 2118;Stará Turá;91601;1 234,31
001774741607;Dobrovo¾nı hasièskı zbor Pobedim;Poštová 3;Pobedim;91623;1 232,81
001774741608;Dobrovo¾nı hasièskı zbor Bošáca; 257;Bošáca;91307;1 447,60
001774741609;Dobrovo¾nı hasièskı zbor Trenèianske Bohuslavice; 70;Trenèianske Bohuslavice;91306;1 213,14
001774741611;Dobrovo¾nı hasièskı zbor Vrzávka; 1062;Bzince pod Javorinou;91611;521,84
001774741612;Dobrovo¾nı hasièskı zbor Buèkovec; 1071;Moravské Lieskové;91642;1 534,36
001774741614;Dobrovo¾nı hasièskı zbor Bzince pod Javorinou; 68;Bzince pod Javorinou;91611;1 202,37
001774741615;Dobrovo¾nı hasièskı zbor Papraï; 1680;Stará Turá;91601;640,06
001774741616;Dobrovo¾nı hasièskı zbor Hôrka nad Váhom; 225;Hôrka nad Váhom;91632;3 731,25
001774741618;Dobrovo¾nı hasièskı zbor Zemianske Podhradie; 138;Zemianske Podhradie;91307;1 207,98
001774741620;Dobrovo¾nı hasièskı zbor Zabudišová; 861;Bošáca;91307;466,54
001774741623;Dobrovo¾nı hasièskı zbor Nová Ves nad Váhom; 160;Nová Ves nad Váhom;91631;781,16
001774741625;Dobrovo¾nı hasièskı zbor Modrovka; 35;Modrovka;91635;144,78
001774741701;Dobrovo¾nı hasièskı zbor Krásno; 68;Krásno;95843;2 981,34
001774741702;Dobrovo¾nı hasièskı zbor Partizánske;Námestie SNP 212/4;Partizánske;95801;510,21
001774741706;Dobrovo¾nı hasièskı zbor Ve¾ké Kršteòany; 157;Ve¾ké Kršteòany;95803;900,46
001774741802;Dobrovo¾nı hasièskı zbor Hornı Lieskov; 155;Hornı Lieskov;01821;540,67
001774741805;Dobrovo¾nı hasièskı zbor Hornı Moštenec;;Povaská Bystrica;01701;273,99
001774741806;Dobrovo¾nı hasièskı zbor Milochov;Jarkovská 233;Povaská Bystrica;01706;990,47
001774741807;Dobrovo¾nı hasièskı zbor Podvaie; 174;Povaská Bystrica;01704;804,85
001774741815;Dobrovo¾nı hasièskı zbor Brvnište; 376;Brvnište;01812;1 841,43
001774741817;Dobrovo¾nı hasièskı zbor Horná Mariková; 360;Horná Mariková;01803;6,50
001774741827;Dobrovo¾nı hasièskı zbor Vrchteplá; 38;Vrchteplá;01705;818,38
001774741829;Dobrovo¾nı hasièskı zbor Stupné; 216;Stupné;01812;411,70
001774741901;Dobrovo¾nı hasièskı zbor Morovno; 114;Handlová;97231;1 377,89
001774741903;Dobrovo¾nı hasièskı zbor Kanianka;Stará cesta 26/38;Kanianka;97217;368,92
001774741907;Dobrovo¾nı hasièskı zbor Radobica; 327;Radobica;97248;589,61
001774741909;Dobrovo¾nı hasièskı zbor Lipník; 36;Lipník;97232;1 680,73
001774741910;Dobrovo¾nı hasièskı zbor Poruba; 95;Poruba;97211;668,09
001774741923;Dobrovo¾nı hasièskı zbor Nitrianske Rudno;Školská 506;Nitrianske Rudno;97226;1 192,92
001774741929;Dobrovo¾nı hasièskı zbor Rudnianska Lehota; 154;Rudnianska Lehota;97226;1 397,90
001774742001;Dobrovo¾nı hasièskı zbor Beluša;Farská 1046/7;Beluša;01861;1 594,26
001774742002;Dobrovo¾nı hasièskı zbor Beluša - Hloa; 2075;Beluša;01861;2 049,39
001774742003;Dobrovo¾nı hasièskı zbor Beluša - Podhorie; 1518;Beluša;01861;161,73
001774742004;Dobrovo¾nı hasièskı zbor Kvašov;Kvašov 174;Kvašov;02062;3 494,21
001774742005;Dobrovo¾nı hasièskı zbor Hoštiná;Hoštiná 68;Púchov;02001;2 107,11
001774742006;Dobrovo¾nı hasièskı zbor Streenice;Školská 147/4;Streenice;02001;2 422,68
001774742007;Dobrovo¾nı hasièskı zbor Lednické Rovne;Schreiberova 369/3;Lednické Rovne;02061;1 129,46
001774742008;Dobrovo¾nı hasièskı zbor Zbora;Zbora 88;Dohòany;02051;3 140,09
001774742009;Dobrovo¾nı hasièskı zbor Dohòany;Dohòany 68;Dohòany;02051;1 548,39
001774742010;Dobrovo¾nı hasièskı zbor Púchov;Poiarna 1245/6;Púchov;02001;1 747,14
001774742011;Dobrovo¾nı hasièskı zbor Horovce;Horovce 94;Horovce;02062;1 071,24
001774742012;Dobrovo¾nı hasièskı zbor Ihrište;Ihrište 5;Púchov;02001;1 274,09
001774742013;Dobrovo¾nı hasièskı zbor Lednica; 243;Lednica;02063;2 666,05
001774742014;Dobrovo¾nı hasièskı zbor Mojtín;Mojtín 242;Mojtín;02072;1 000,00
001774742015;Dobrovo¾nı hasièskı zbor Nosice; 63;Púchov;02001;4 145,98
001774742016;Dobrovo¾nı hasièskı zbor Horenická Hôrka;Horenická;Lednické Rovne;02061;2 140,38
001774742018;Dobrovo¾nı hasièskı zbor Dolná Breznica; 61;Dolná Breznica;02061;1 166,61
001774742020;Dobrovo¾nı hasièskı zbor Lysá pod Makytou;Lysá pod Makytou 2;Lysá pod Makytou;02054;1 809,96
001774742022;Dobrovo¾nı hasièskı zbor Lúky; 105;Lúky;02053;1 796,90
001774742023;Dobrovo¾nı hasièskı zbor Horná Breznica; 78;Horná Breznica;02061;3 274,59
001774742024;Dobrovo¾nı hasièskı zbor Dolné Koèkovce;Školská 136;Dolné Koèkovce;02001;1 461,33
001774742101;Dobrovo¾nı hasièskı zbor Dyèka; 69;Vráble;95201;1 378,66
001774742116;Dobrovo¾nı hasièskı zbor Malé Záluie; 63;Malé Záluie;95124;3 502,28
001774742117;Dobrovo¾nı hasièskı zbor Nitra Pribina;Svätoplukova 899/3;Nitra;94901;837,94
001774742204;Dobrovo¾nı hasièskı zbor Hurbanovo;1. Mája 6;Hurbanovo;94701;541,19
001774742211;Dobrovo¾nı hasièskı zbor Nesvady;Nám. 1. mája 1887/12;Nesvady;94651;821,53
001774742214;Dobrovo¾nı hasièskı zbor Brestovec;Hlavná 86;Brestovec;94617;2 509,50
001774742216;Dobrovo¾nı hasièskı zbor Komárno;Hradná 3692;Komárno;94501;632,19
001774742217;Dobrovo¾nı hasièskı zbor Ime¾;Zdravotnícka 856/6;Ime¾;94652;1 516,56
001774742218;Dobrovo¾nı hasièskı zbor Zemianska Olèa;eleznièná 997/87;Zemianska Olèa;94614;4 301,16
001774742219;Dobrovo¾nı hasièskı zbor Bátorove Kosihy; 1254;Bátorove Kosihy;94634;473,50
001774742305;Dobrovo¾nı hasièskı zbor Bátovce; 2;Bátovce;93503;894,30
001774742317;Dobrovo¾nı hasièskı zbor Ve¾ké Ludince; 655;Ve¾ké Ludince;93565;752,54
001774742401;Dobrovo¾nı hasièskı zbor Palárikovo;Pod lipami 597/2;Palárikovo;94111;1 161,73
001774742405;Dobrovo¾nı hasièskı zbor Zemné; 231;Zemné;94122;1 603,48
001774742409;Dobrovo¾nı hasièskı zbor Šurany;Námestie hrdinov 1;Šurany;94201;420,66
001774742416;Dobrovo¾nı hasièskı zbor Tvrdošovce;Novozámocká cesta 56;Tvrdošovce;94110;1 483,38
001774742418;Dobrovo¾nı hasièskı zbor Kostolnı Sek;Vıchodná 17;Šurany;94201;694,26
001774742502;Dobrovo¾nı hasièskı zbor Vlèany;;Vlèany;92584;1 301,34
001774742621;Dobrovo¾nı hasièskı zbor Svrbice; 25;Svrbice;95606;763,58
001774742807;Dobrovo¾nı hasièskı zbor Rosina; 167;Rosina;01322;707,63
001774742813;Dobrovo¾nı hasièskı zbor Kamenná Poruba;;Kamenná Poruba;01314;703,27
001774742822;Dobrovo¾nı hasièskı zbor Konská;Školská ulica 410/2;Konská;01313;858,06
001774742901;Dobrovo¾nı hasièskı zbor Hliník nad Váhom;Hliník nad Váhom 162;Bytèa;01401;2 784,80
001774742902;Dobrovo¾nı hasièskı zbor Bytèa;1. mája 36/7;Bytèa;01401;561,74
001774742903;Dobrovo¾nı hasièskı zbor Predmier; 240;Predmier;01351;654,87
001774742904;Dobrovo¾nı hasièskı zbor Jablonové; 41;Jablonové;01352;1 118,08
001774742905;Dobrovo¾nı hasièskı zbor Hrabové; 93;Bytèa;01401;2 797,79
001774742910;Dobrovo¾nı hasièskı zbor Mikšová; 52;Bytèa;01401;446,80
001774742913;Dobrovo¾nı hasièskı zbor Kolárovice - Vrchy; 676;Kolárovice;01354;683,19
001774743003;Dobrovo¾nı hasièskı zbor Stará Bystrica; 659;Stará Bystrica;02304;1 892,22
001774743006;Dobrovo¾nı hasièskı zbor Vysoká nad Kysucou; 524;Vysoká nad Kysucou;02355;507,94
001774743012;Dobrovo¾nı hasièskı zbor Krásno nad Kysucou;Struhy 83;Krásno nad Kysucou;02302;1 454,62
001774743017;Dobrovo¾nı hasièskı zbor Nová Bystrica; 474;Nová Bystrica;02305;207,19
001774743024;Dobrovo¾nı hasièskı zbor Dunajov; 222;Dunajov;02302;357,09
001774743103;Dobrovo¾nı hasièskı zbor Medzibrodie nad Oravou; 122;Medzibrodie nad Oravou;02601;1 545,53
001774743111;Dobrovo¾nı hasièskı zbor Krivá; 180;Krivá;02755;2 869,81
001774743119;Dobrovo¾nı hasièskı zbor Dolnı Kubín - Záskalie;Záskalická 703/53;Dolnı Kubín;02601;915,43
001774743201;Dobrovo¾nı hasièskı zbor Rudinka;;Rudinka;02331;782,48
001774743202;Dobrovo¾nı hasièskı zbor Kysucké Nové Mesto;Námestie slobody 94;Kysucké Nové Mesto;02401;1 315,81
001774743204;Dobrovo¾nı hasièskı zbor Snenica; 17;Snenica;02332;2 672,16
001774743205;Dobrovo¾nı hasièskı zbor Kysuckı Lieskovec; 576;Kysuckı Lieskovec;02334;1 182,12
001774743206;Dobrovo¾nı hasièskı zbor Lopušné Paite; 102;Lopušné Paite;02336;161,05
001774743207;Dobrovo¾nı hasièskı zbor Hornı Vadièov; 174;Hornı Vadièov;02345;2 184,34
001774743208;Dobrovo¾nı hasièskı zbor Dolnı Vadièov;Dolnı Vadièov 123;Dolnı Vadièov;02345;2 554,72
001774743209;Dobrovo¾nı hasièskı zbor Nesluša;Nesluša 978;Nesluša;02341;708,36
001774743210;Dobrovo¾nı hasièskı zbor Lodno; 228;Lodno;02334;447,94
001774743301;Dobrovo¾nı hasièskı zbor Liptovskı Mikuláš - mesto;Podtatranského 25/1910;Liptovskı Mikuláš;03101;4 203,33
001774743302;Dobrovo¾nı hasièskı zbor Liptovská Ondrašová;Poiarnická ul. 1;Liptovskı Mikuláš;03105;1 277,76
001774743303;Dobrovo¾nı hasièskı zbor Liptovskı Trnovec; 160;Liptovskı Trnovec;03222;1 952,04
001774743306;Dobrovo¾nı hasièskı zbor Liptovská Kokava; 390;Liptovská Kokava;03244;121,38
001774743317;Dobrovo¾nı hasièskı zbor Hybe; 2;Hybe;03231;418,60
001774743319;Dobrovo¾nı hasièskı zbor Smreèany; 48;Smreèany;03205;473,75
001774743324;Dobrovo¾nı hasièskı zbor Galovany; 67;Galovany;03211;1 359,34
001774743408;Dobrovo¾nı hasièskı zbor Turèiansky Ïur; 6;Turèiansky Ïur;03843;837,84
001774743409;Dobrovo¾nı hasièskı zbor Turany;Budovate¾ská 1215;Turany;03853;1 962,65
001774743411;Dobrovo¾nı hasièskı zbor Blatnica; 2;Blatnica;03815;1 474,45
001774743412;Dobrovo¾nı hasièskı zbor Krpe¾any;Váska 69;Krpe¾any;03854;1 494,51
001774743416;Dobrovo¾nı hasièskı zbor Drakovce; 45;Drakovce;03802;2 434,42
001774743417;Dobrovo¾nı hasièskı zbor Trnovo; 37;Trnovo;03841;2 076,37
001774743428;Dobrovo¾nı hasièskı zbor Socovce; 33;Socovce;03843;1 743,23
001774743603;Dobrovo¾nı hasièskı zbor Liptovské Revúce;Stredná 386;Liptovské Revúce;03474;2 076,42
001774743617;Dobrovo¾nı hasièskı zbor Liptovská Osada;Liptovská Osada 369;Liptovská Osada;03473;792,46
001774743621;Dobrovo¾nı hasièskı zbor Stankovany; 133;Stankovany;03492;351,55
001774743632;Dobrovo¾nı hasièskı zbor Švošov;Pod viechou 212/2;Švošov;03491;308,78
001774743701;Dobrovo¾nı hasièskı zbor Blaovce; 22;Blaovce;03844;1 856,95
001774743703;Dobrovo¾nı hasièskı zbor Moškovec; 18;Moškovec;03844;1 429,10
001774743708;Dobrovo¾nı hasièskı zbor Malı Èepèín; 26;Malı Èepèín;03845;850,08
001774743711;Dobrovo¾nı hasièskı zbor Mošovce;Starı Rad 202/18;Mošovce;03821;663,91
001774743801;Dobrovo¾nı hasièskı zbor Štefanov nad Oravou;Hlavná 129/56;Štefanov nad Oravou;02744;1 618,02
001774743802;Dobrovo¾nı hasièskı zbor Suchá Hora; 113;Suchá Hora;02713;1 415,76
001774743804;Dobrovo¾nı hasièskı zbor Trstená;Poiarnikov 434;Trstená;02801;494,38
001774743807;Dobrovo¾nı hasièskı zbor Liesek; 81;Liesek;02712;628,55
001774743810;Dobrovo¾nı hasièskı zbor Štefanov nad Oravou - Dolná èas;Plátenícka 61;Štefanov nad Oravou;02744;2 330,61
001774743812;Dobrovo¾nı hasièskı zbor Hladovka; 45;Hladovka;02713;1 824,31
001774743901;Dobrovo¾nı hasièskı zbor Nemce;Lúèna 52;Nemce;97401;628,37
001774743906;Dobrovo¾nı hasièskı zbor Dúbravica; 29;Dúbravica;97633;634,15
001774743907;Dobrovo¾nı hasièskı zbor Hronsek;Zámocká 151/34;Hronsek;97631;1 118,45
001774743914;Dobrovo¾nı hasièskı zbor Èerín; 11;Èerín;97401;937,45
001774743915;Dobrovo¾nı hasièskı zbor Badín;Sládkovièova 110/4;Badín;97632;550,40
001774743921;Dobrovo¾nı hasièskı zbor Rakytovce;Rakytovská 5193/54;Banská Bystrica;97405;664,58
001774744106;Dobrovo¾nı hasièskı zbor Brezno - mesto;Dr. Clementisa 1218/14;Brezno;97701;815,88
001774744108;Dobrovo¾nı hasièskı zbor Jasenie; 497;Jasenie;97675;3 583,22
001774744113;Dobrovo¾nı hasièskı zbor Braväcovo; 30;Braväcovo;97664;2 410,55
001774744301;Dobrovo¾nı hasièskı zbor Lackov; 20;Lackov;96244;3 209,21
001774744601;Dobrovo¾nı hasièskı zbor Jelšava;Tomášikova 470;Jelšava;04916;753,70
001774744726;Dobrovo¾nı hasièskı zbor Klenovec;Malinovského 131;Klenovec;98055;1 451,04
001774744906;Dobrovo¾nı hasièskı zbor Sielnica; 211;Sielnica;96231;1 406,17
001774745102;Dobrovo¾nı hasièskı zbor Lovèa;Námestie SNP 48;Lovèa;96621;803,59
001774745104;Dobrovo¾nı hasièskı zbor Pitelová; 79;Pitelová;96611;3 266,47
001774745107;Dobrovo¾nı hasièskı zbor Bartošova Lehôtka; 80;Bartošova Lehôtka;95701;849,34
001774745109;Dobrovo¾nı hasièskı zbor Trnavá Hora-Jalná;Horná 199/9;Trnavá Hora;96611;2 995,79
001774745204;Dobrovo¾nı hasièskı zbor Prešov;Hviezdoslavova 22;Prešov;08001;1 230,63
001774745208;Dobrovo¾nı hasièskı zbor Bretejovce; 84;Bretejovce;08203;1 723,40
001774745306;Dobrovo¾nı hasièskı zbor Hertník; 162;Hertník;08642;2 316,02
001774745309;Dobrovo¾nı hasièskı zbor Zborov;Lesná 10;Zborov;08633;1 025,01
001774745406;Dobrovo¾nı hasièskı zbor Lieskovec;Lieskovec 122;Lieskovec;06745;1 181,02
001774745520;Dobrovo¾nı hasièskı zbor ¼ubica;Športová 298;¼ubica;05971;833,02
001774745607;Dobrovo¾nı hasièskı zbor Klèov; 112;Klèov;05302;2 158,80
001774745804;Dobrovo¾nı hasièskı zbor Spišská Sobota;Brokoffova 2224/28;Poprad;05801;763,58
001774745806;Dobrovo¾nı hasièskı zbor Liptovská Teplièka;Štefana Náhalku 558/13;Liptovská Teplièka;05940;700,65
001774745816;Dobrovo¾nı hasièskı zbor Šuòava;SNP 140;Šuòava;05939;1 974,91
001774745823;Dobrovo¾nı hasièskı zbor Gánovce;Gánovská 184;Gánovce;05801;1 921,24
001774745907;Dobrovo¾nı hasièskı zbor Èervenica pri Sabinove; 27;Èervenica pri Sabinove;08256;1 198,06
001774745918;Dobrovo¾nı hasièskı zbor Šarišské Micha¾any;Poiarnicka 200/15;Šarišské Micha¾any;08222;469,04
001774746401;Dobrovo¾nı hasièskı zbor Bystré;Šarišská 524/32;Bystré;09434;7 017,93
001774746606;Dobrovo¾nı hasièskı zbor Poproè;Poiarna 2;Poproè;04424;2 387,32
001774746608;Dobrovo¾nı hasièskı zbor Budimír; 19;Budimír;04443;9 596,27
001774746609;Dobrovo¾nı hasièskı zbor Èiatice;Èiatice 119;Èiatice;04447;1 683,63
001774746612;Dobrovo¾nı hasièskı zbor Vtáèkovce; 15;Vtáèkovce;04447;1 288,94
001774746613;Dobrovo¾nı hasièskı zbor Chrastné; 86;Chrastné;04444;1 065,90
001774746703;Dobrovo¾nı hasièskı zbor Prakovce; 333;Prakovce;05562;343,15
001774746705;Dobrovo¾nı hasièskı zbor Jaklovce;Nová 464/81;Jaklovce;05561;1 595,36
001774746706;Dobrovo¾nı hasièskı zbor Mníšek nad Hnilcom; 293;Mníšek nad Hnilcom;05564;2 284,10
001774746709;Dobrovo¾nı hasièskı zbor Švedlár; 203;Švedlár;05334;198,15
001774746807;Dobrovo¾nı hasièskı zbor Bánovce nad Ondavou; 191;Bánovce nad Ondavou;07204;724,97
001774746810;Dobrovo¾nı hasièskı zbor bince;;bince;07216;631,24
001774747101;Dobrovo¾nı hasièskı zbor Spišská Nová Ves;Námestie SNP 2;Spišská Nová Ves;05201;2 613,21
001774747107;Dobrovo¾nı hasièskı zbor Matejovce nad Hornádom;;Matejovce nad Hornádom;05321;369,31
001774747108;Dobrovo¾nı hasièskı zbor Spišské Vlachy;Mlynská 1;Spišské Vlachy;05361;1 255,39
001774747109;Dobrovo¾nı hasièskı zbor Danišovce; 120;Danišovce;05322;1 164,89
001774747110;Dobrovo¾nı hasièskı zbor Iliašovce; 231;Iliašovce;05311;38,40
